bechmark,formula,index,output,error,time,details
benchmarks,(x)*1,0,"(0.4874999999999982, 0.5125000000000021)",,0.46576809883117676,"{'raw_output': '{ method = Polytopes\n  discretization = { Start = -4.0\n                     End = 4.0\n                     StepSize = 0.25 }\n  depth = 20\n  splits = 10000\n  epsilonScore = 0.025\n  epsilonVar = 0.05\n  outputSplitProgress = true\n  outputCurrentPath = true\n  outputCurrentArea = true }\nStart eval...\nCurrently on depth 0. In the queue 0Currently on depth 1. In the queue 0Currently on depth 2. In the queue 0Currently on depth 3. In the queue 0Currently on depth 4. In the queue 0Currently on depth 5. In the queue 0\n...eval completed\nFound 1 paths.\nWorking on path 0/1\nWorking on area [-4.000000, -3.750000]\nWorking on area [-3.750000, -3.500000]\nWorking on area [-3.500000, -3.250000]\nWorking on area [-3.250000, -3.000000]\nWorking on area [-3.000000, -2.750000]\nWorking on area [-2.750000, -2.500000]\nWorking on area [-2.500000, -2.250000]\nWorking on area [-2.250000, -2.000000]\nWorking on area [-2.000000, -1.750000]\nWorking on area [-1.750000, -1.500000]\nWorking on area [-1.500000, -1.250000]\nWorking on area [-1.250000, -1.000000]\nWorking on area [-1.000000, -0.750000]\nWorking on area [-0.750000, -0.500000]\nWorking on area [-0.500000, -0.250000]\nWorking on area [-0.250000, 0.000000]\n1 VarSplits. 100 %done.  1 ScoreSplits.  100 %done\nWorking on area [0.000000, 0.250000]\n1 VarSplits. 100 %done.  10 ScoreSplits.  10 %done1 VarSplits. 100 %done.  10 ScoreSplits.  20 %done1 VarSplits. 100 %done.  10 ScoreSplits.  30 %done1 VarSplits. 100 %done.  10 ScoreSplits.  40 %done1 VarSplits. 100 %done.  10 ScoreSplits.  50 %done1 VarSplits. 100 %done.  10 ScoreSplits.  60 %done1 VarSplits. 100 %done.  10 ScoreSplits.  70 %done1 VarSplits. 100 %done.  10 ScoreSplits.  80 %done1 VarSplits. 100 %done.  10 ScoreSplits.  90 %done1 VarSplits. 100 %done.  10 ScoreSplits.  100 %done\nWorking on area [0.250000, 0.500000]\n1 VarSplits. 100 %done.  10 ScoreSplits.  10 %done1 VarSplits. 100 %done.  10 ScoreSplits.  20 %done1 VarSplits. 100 %done.  10 ScoreSplits.  30 %done1 VarSplits. 100 %done.  10 ScoreSplits.  40 %done1 VarSplits. 100 %done.  10 ScoreSplits.  50 %done1 VarSplits. 100 %done.  10 ScoreSplits.  60 %done1 VarSplits. 100 %done.  10 ScoreSplits.  70 %done1 VarSplits. 100 %done.  10 ScoreSplits.  80 %done1 VarSplits. 100 %done.  10 ScoreSplits.  90 %done1 VarSplits. 100 %done.  10 ScoreSplits.  100 %done\nWorking on area [0.500000, 0.750000]\n1 VarSplits. 100 %done.  10 ScoreSplits.  10 %done1 VarSplits. 100 %done.  10 ScoreSplits.  20 %done1 VarSplits. 100 %done.  10 ScoreSplits.  30 %done1 VarSplits. 100 %done.  10 ScoreSplits.  40 %done1 VarSplits. 100 %done.  10 ScoreSplits.  50 %done1 VarSplits. 100 %done.  10 ScoreSplits.  60 %done1 VarSplits. 100 %done.  10 ScoreSplits.  70 %done1 VarSplits. 100 %done.  10 ScoreSplits.  80 %done1 VarSplits. 100 %done.  10 ScoreSplits.  90 %done1 VarSplits. 100 %done.  10 ScoreSplits.  100 %done\nWorking on area [0.750000, 1.000000]\n1 VarSplits. 100 %done.  10 ScoreSplits.  10 %done1 VarSplits. 100 %done.  10 ScoreSplits.  20 %done1 VarSplits. 100 %done.  10 ScoreSplits.  30 %done1 VarSplits. 100 %done.  10 ScoreSplits.  40 %done1 VarSplits. 100 %done.  10 ScoreSplits.  50 %done1 VarSplits. 100 %done.  10 ScoreSplits.  60 %done1 VarSplits. 100 %done.  10 ScoreSplits.  70 %done1 VarSplits. 100 %done.  10 ScoreSplits.  80 %done1 VarSplits. 100 %done.  10 ScoreSplits.  90 %done1 VarSplits. 100 %done.  10 ScoreSplits.  100 %done\nWorking on area [1.000000, 1.250000]\n1 VarSplits. 100 %done.  1 ScoreSplits.  100 %done\nWorking on area [1.250000, 1.500000]\nWorking on area [1.500000, 1.750000]\nWorking on area [1.750000, 2.000000]\nWorking on area [2.000000, 2.250000]\nWorking on area [2.250000, 2.500000]\nWorking on area [2.500000, 2.750000]\nWorking on area [2.750000, 3.000000]\nWorking on area [3.000000, 3.250000]\nWorking on area [3.250000, 3.500000]\nWorking on area [3.500000, 3.750000]\nWorking on area [3.750000, 4.000000]\nNormalizing constant: 0.4874999999999982 <= Z <= 0.5125000000000021\nLog of normalizing constant: -0.7184649885442387 <= ln Z <= -0.66845456796957\nTotal computation time: 0.132 seconds\nVinci computation: 0.000 seconds\nFlips computation: 0.058 seconds\n'}"
benchmarks,(x**2)*1,1,"(0.3331775037124986, 0.33348919462330495)",,0.381990909576416,"{'raw_output': '{ method = Polytopes\n  discretization = { Start = -4.0\n                     End = 4.0\n                     StepSize = 0.25 }\n  depth = 20\n  splits = 10000\n  epsilonScore = 0.025\n  epsilonVar = 0.05\n  outputSplitProgress = true\n  outputCurrentPath = true\n  outputCurrentArea = true }\nStart eval...\nCurrently on depth 0. In the queue 0Currently on depth 1. In the queue 0Currently on depth 2. In the queue 0Currently on depth 3. In the queue 0Currently on depth 4. In the queue 0Currently on depth 5. In the queue 0Currently on depth 6. In the queue 0\n...eval completed\nFound 1 paths.\nWorking on path 0/1\nstarting with 1 interval traces...\n10000 splits remaining...\n10000 splits remaining...\n0 splits remaining...\n\nsummarizing results from interval traces...\n{ NormConst = [0.3332842960017201, 0.33338237480890826]\n  Expectation = [0.19995824410028898, 0.20004176190605896]\n  Histogram =\n   [|[0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0.04165140911930763, 0.041681926697552794];\n     [0.07613145021601953, 0.07622299794642208];\n     [0.09857711236322197, 0.09870570280900766];\n     [0.11681753201394966, 0.1168785671703222]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]|]\n  Outside = [0, 0] }\nNormalizing constant: 0.3331775037124986 <= Z <= 0.33348919462330495\nLog of normalizing constant: -1.0990798868376 <= ln Z <= -1.098144814081468\nTotal computation time: 0.124 seconds\nVinci computation: 0.000 seconds\nFlips computation: 0.000 seconds\n'}"
benchmarks,(x**3)*1,2,"(0.24984827016353228, 0.25015176909508047)",,0.387052059173584,"{'raw_output': '{ method = Polytopes\n  discretization = { Start = -4.0\n                     End = 4.0\n                     StepSize = 0.25 }\n  depth = 20\n  splits = 10000\n  epsilonScore = 0.025\n  epsilonVar = 0.05\n  outputSplitProgress = true\n  outputCurrentPath = true\n  outputCurrentArea = true }\nStart eval...\nCurrently on depth 0. In the queue 0Currently on depth 1. In the queue 0Currently on depth 2. In the queue 0Currently on depth 3. In the queue 0Currently on depth 4. In the queue 0Currently on depth 5. In the queue 0Currently on depth 6. In the queue 0Currently on depth 7. In the queue 0\n...eval completed\nFound 1 paths.\nWorking on path 0/1\nstarting with 1 interval traces...\n10000 splits remaining...\n10000 splits remaining...\n0 splits remaining...\n\nsummarizing results from interval traces...\n{ NormConst = [0.249955055570101, 0.2500449496839899]\n  Expectation = [0.14281980612483958, 0.1428944865218591]\n  Histogram =\n   [|[0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0.0393378566272544, 0.039398886938051596];\n     [0.05978432914586788, 0.05987421636823059];\n     [0.07109554825954836, 0.07118709450162759];\n     [0.0796305361308618, 0.0796915712871705]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]|]\n  Outside = [0, 0] }\nNormalizing constant: 0.24984827016353228 <= Z <= 0.25015176909508047\nLog of normalizing constant: -1.3869014647158613 <= ln Z <= -1.3856874689358911\nTotal computation time: 0.124 seconds\nVinci computation: 0.000 seconds\nFlips computation: 0.000 seconds\n'}"
benchmarks,(x**3 + x**2 + x + 1)*1,3,"(2.0804081595527166, 2.086258920654905)",,0.4349651336669922,"{'raw_output': '{ method = Polytopes\n  discretization = { Start = -4.0\n                     End = 4.0\n                     StepSize = 0.25 }\n  depth = 20\n  splits = 10000\n  epsilonScore = 0.025\n  epsilonVar = 0.05\n  outputSplitProgress = true\n  outputCurrentPath = true\n  outputCurrentArea = true }\nStart eval...\nCurrently on depth 0. In the queue 0Currently on depth 1. In the queue 0Currently on depth 2. In the queue 0Currently on depth 3. In the queue 0Currently on depth 4. In the queue 0Currently on depth 5. In the queue 0Currently on depth 6. In the queue 0Currently on depth 7. In the queue 0Currently on depth 8. In the queue 0Currently on depth 9. In the queue 0Currently on depth 10. In the queue 0Currently on depth 11. In the queue 0\n...eval completed\nFound 1 paths.\nWorking on path 0/1\nstarting with 1 interval traces...\n10000 splits remaining...\n10000 splits remaining...\n0 splits remaining...\n\nsummarizing results from interval traces...\n{ NormConst = [2.0831850591909977, 2.0834816168737196]\n  Expectation = [5.075513853491281, 5.076867170359361]\n  Histogram =\n   [|[0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0.22466752776126886, 0.22485064849291128];\n     [0.1929960120548769, 0.19336220321753417];\n     [0.17822413134928408, 0.17865140164785945];\n     [0.17018570273042563, 0.17067394849477438];\n     [0.16629090270080513, 0.16684021254000375];\n     [0.16420877953209595, 0.16481918077386915];\n     [0.1629652434163443, 0.1636366327675374];\n     [0.16290577274231646, 0.16344646019892298];\n     [0.16336403332909302, 0.16376075353048009];\n     [0.16409999780263992, 0.1645272582198464];\n     [0.16476855635487456, 0.16522632146825728];\n     [0.16573149977869361, 0.16621975867790686]|]\n  Outside = [0, 0.00024414062500000103] }\nNormalizing constant: 2.0804081595527166 <= Z <= 2.086258920654905\nLog of normalizing constant: 0.7325641050167206 <= ln Z <= 0.7353724719128211\nTotal computation time: 0.167 seconds\nVinci computation: 0.000 seconds\nFlips computation: 0.000 seconds\n'}"
benchmarks,(x**4 + x**3 + x**2 + x**1 + 1)*1,4,"(1.7791781814430736, 2.2864838808790706)",,0.42862439155578613,"{'raw_output': '{ method = Polytopes\n  discretization = { Start = -4.0\n                     End = 4.0\n                     StepSize = 0.25 }\n  depth = 20\n  splits = 10000\n  epsilonScore = 0.025\n  epsilonVar = 0.05\n  outputSplitProgress = true\n  outputCurrentPath = true\n  outputCurrentArea = true }\nStart eval...\nCurrently on depth 0. In the queue 0Currently on depth 1. In the queue 0Currently on depth 2. In the queue 0Currently on depth 3. In the queue 0Currently on depth 4. In the queue 0Currently on depth 5. In the queue 0Currently on depth 6. In the queue 0Currently on depth 7. In the queue 0Currently on depth 8. In the queue 0Currently on depth 9. In the queue 0Currently on depth 10. In the queue 0Currently on depth 11. In the queue 0Currently on depth 12. In the queue 0Currently on depth 13. In the queue 0Currently on depth 14. In the queue 0Currently on depth 15. In the queue 0\n...eval completed\nFound 1 paths.\nWorking on path 0/1\nstarting with 1 interval traces...\n10000 splits remaining...\n10000 splits remaining...\n0 splits remaining...\n\nsummarizing results from interval traces...\n{ NormConst = [2.2831433032912964, 2.283523378779772]\n  Expectation = [6.4553295417347005, 6.457369003465465]\n  Histogram =\n   [|[0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0.22335950657900885, 0.2235426115545569];\n     [0.18586504930235453, 0.18623128453143842];\n     [0.1643024541110585, 0.16472973263563184];\n     [0.15116618299047327, 0.15165442081334188];\n     [0.14319544249848265, 0.14374476112768067];\n     [0.13752811033525109, 0.13813846102084773];\n     [0.13380531699896908, 0.13447676317968463];\n     [0.13079646379745982, 0.13152888717204514];\n     [0.12903717236373813, 0.12963087330605225];\n     [0.12764144805062305, 0.12806868460165435];\n     [0.1267141757457539, 0.127171945750705];\n     [0.12576685866990175, 0.12625511413015789]|]\n  Outside = [0, 0.5013103410552723] }\nNormalizing constant: 1.7791781814430736 <= Z <= 2.2864838808790706\nLog of normalizing constant: 0.5761515618711647 <= ln Z <= 0.8270152143990485\nTotal computation time: 0.166 seconds\nVinci computation: 0.000 seconds\nFlips computation: 0.000 seconds\n'}"
benchmarks,(1/x),5,"(1.3967282610166747, 4.6586603061975875)",,0.3698592185974121,"{'raw_output': '{ method = Polytopes\n  discretization = { Start = -4.0\n                     End = 4.0\n                     StepSize = 0.25 }\n  depth = 20\n  splits = 10000\n  epsilonScore = 0.025\n  epsilonVar = 0.05\n  outputSplitProgress = true\n  outputCurrentPath = true\n  outputCurrentArea = true }\nStart eval...\nCurrently on depth 0. In the queue 0Currently on depth 1. In the queue 0Currently on depth 2. In the queue 0Currently on depth 3. In the queue 0Currently on depth 4. In the queue 0Currently on depth 5. In the queue 0\n...eval completed\nFound 1 paths.\nWorking on path 0/1\nstarting with 1 interval traces...\n10000 splits remaining...\n10000 splits remaining...\n0 splits remaining...\n\nsummarizing results from interval traces...\n{ NormConst = [4.648566006330869, 4.654814286268619]\n  Expectation = [99.6949167976842, 100.30631284238413]\n  Histogram =\n   [|[0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0.2252374083792687, 0.22542049313318363];\n     [0.1840946077558592, 0.1844608353520448];\n     [0.1554865956804871, 0.15591385801480537];\n     [0.13462852283115784, 0.13511681899164774];\n     [0.11878211701178974, 0.11933149588153649];\n     [0.10589848868589045, 0.10650877600870647];\n     [0.09596026129055571, 0.09663159261016446];\n     [0.08760813107765618, 0.08834055342441678];\n     [0.08038600977582328, 0.08117941344911403];\n     [0.07448286750371126, 0.07533734747391423];\n     [0.06940760099867643, 0.07032327439801506];\n     [0.06475565002579958, 0.06573242005147227]|]\n  Outside = [0, 3.2543634274085638] }\nNormalizing constant: 1.3967282610166747 <= Z <= 4.6586603061975875\nLog of normalizing constant: 0.3341325452601107 <= ln Z <= 1.5387279188645426\nTotal computation time: 0.113 seconds\nVinci computation: 0.000 seconds\nFlips computation: 0.000 seconds\n'}"
benchmarks,(1/(x+y)),6,"(0.9016047404524042, 1.615011588400836)",,0.45156359672546387,"{'raw_output': '{ method = Polytopes\n  discretization = { Start = -4.0\n                     End = 4.0\n                     StepSize = 0.25 }\n  depth = 20\n  splits = 10000\n  epsilonScore = 0.025\n  epsilonVar = 0.05\n  outputSplitProgress = true\n  outputCurrentPath = true\n  outputCurrentArea = true }\nStart eval...\nCurrently on depth 0. In the queue 0Currently on depth 1. In the queue 0Currently on depth 2. In the queue 0Currently on depth 3. In the queue 0Currently on depth 4. In the queue 0Currently on depth 5. In the queue 0Currently on depth 6. In the queue 0Currently on depth 7. In the queue 0Currently on depth 8. In the queue 0\n...eval completed\nFound 1 paths.\nWorking on path 0/1\nstarting with 1 interval traces...\n10000 splits remaining...\n10000 splits remaining...\n0 splits remaining...\n\nsummarizing results from interval traces...\n{ NormConst = [1.3122966531485514, 1.380110974780984]\n  Expectation = [3.3714427931293094, 5.073856223966986]\n  Histogram =\n   [|[0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0.13867222390660663, 0.15270361453505407];\n     [0.22528429496109684, 0.2653110121161858];\n     [0.17355330270649502, 0.22528285256798164];\n     [0.10814795791449693, 0.15456505903538897];\n     [0.07774751832999352, 0.11453969594420953];\n     [0.05509370188412091, 0.08803311354978512];\n     [0.039696346502170354, 0.07245054857149423];\n     [0.025955635505683586, 0.058274323451279184];\n     [0.021264281430752402, 0.053416540286646524];\n     [0.014919352475489266, 0.04680229416326238];\n     [0.007427269214577833, 0.03897964676716645];\n     [0.007394849235287497, 0.03895709798490195];\n     [0.0032372283682068547, 0.03454358196545302];\n     [0.0032107780174271097, 0.03496369772173156]|]\n  Outside = [0, 0.2361885097402948] }\nNormalizing constant: 0.9016047404524042 <= Z <= 1.615011588400836\nLog of normalizing constant: -0.10357905844829388 <= ln Z <= 0.47934213212926996\nTotal computation time: 0.202 seconds\nVinci computation: 0.000 seconds\nFlips computation: 0.000 seconds\n'}"
benchmarks,(1/(x+y+(x*y))),7,"(0.7539674168856025, 1.4578981646335882)",,0.487440824508667,"{'raw_output': '{ method = Polytopes\n  discretization = { Start = -4.0\n                     End = 4.0\n                     StepSize = 0.25 }\n  depth = 20\n  splits = 10000\n  epsilonScore = 0.025\n  epsilonVar = 0.05\n  outputSplitProgress = true\n  outputCurrentPath = true\n  outputCurrentArea = true }\nStart eval...\nCurrently on depth 0. In the queue 0Currently on depth 1. In the queue 0Currently on depth 2. In the queue 0Currently on depth 3. In the queue 0Currently on depth 4. In the queue 0Currently on depth 5. In the queue 0Currently on depth 6. In the queue 0Currently on depth 7. In the queue 0Currently on depth 8. In the queue 0Currently on depth 9. In the queue 0Currently on depth 10. In the queue 0\n...eval completed\nFound 1 paths.\nWorking on path 0/1\nstarting with 1 interval traces...\n10000 splits remaining...\n10000 splits remaining...\n0 splits remaining...\n\nsummarizing results from interval traces...\n{ NormConst = [1.1524421100269409, 1.2217892557318217]\n  Expectation = [2.976182017599228, 4.671806920215857]\n  Histogram =\n   [|[0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0.056502441769607434, 0.06332789083346482];\n     [0.1593293763917549, 0.18300025075351672];\n     [0.15859006538074985, 0.1995916098265742];\n     [0.11821071386841993, 0.16709842652251194];\n     [0.07940684489150251, 0.12021920756369683];\n     [0.05669567669575265, 0.08982678048460215];\n     [0.04051618369756409, 0.0733408979619949];\n     [0.029034908903032813, 0.0616354598365583];\n     [0.020529423924879348, 0.05281171697123352];\n     [0.014528517526717495, 0.046375324553655776];\n     [0.01024849554331442, 0.04174648450966145];\n     [0.006493663986959976, 0.037867756299315054];\n     [0.002594915153169198, 0.033696324285200446];\n     [0.0012861891521785348, 0.03234111714711778]; [0, 0.02996301908573952]|]\n  Outside = [0, 0.22505589799874415] }\nNormalizing constant: 0.7539674168856025 <= Z <= 1.4578981646335882\nLog of normalizing constant: -0.28240612558749095 <= ln Z <= 0.37699578521680205\nTotal computation time: 0.213 seconds\nVinci computation: 0.000 seconds\nFlips computation: 0.000 seconds\n'}"
benchmarks,(1/(x+y+z)),8,"(0.39262436795817907, 1.4049346635027904)",,0.4992198944091797,"{'raw_output': '{ method = Polytopes\n  discretization = { Start = -4.0\n                     End = 4.0\n                     StepSize = 0.25 }\n  depth = 20\n  splits = 10000\n  epsilonScore = 0.025\n  epsilonVar = 0.05\n  outputSplitProgress = true\n  outputCurrentPath = true\n  outputCurrentArea = true }\nStart eval...\nCurrently on depth 0. In the queue 0Currently on depth 1. In the queue 0Currently on depth 2. In the queue 0Currently on depth 3. In the queue 0Currently on depth 4. In the queue 0Currently on depth 5. In the queue 0Currently on depth 6. In the queue 0Currently on depth 7. In the queue 0Currently on depth 8. In the queue 0Currently on depth 9. In the queue 0Currently on depth 10. In the queue 0Currently on depth 11. In the queue 0\n...eval completed\nFound 1 paths.\nWorking on path 0/1\nstarting with 1 interval traces...\n10000 splits remaining...\n10000 splits remaining...\n0 splits remaining...\n\nsummarizing results from interval traces...\n{ NormConst = [0.7282582744531486, 0.8455883484914143]\n  Expectation = [0.6627371864880923, 1.6995696852809834]\n  Histogram =\n   [|[0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0.05783012028347868, 0.10334855952024012];\n     [0.206155137029327, 0.35793177310683577];\n     [0.10282955103086028, 0.27168036768954995];\n     [0.025809559614513297, 0.14826425479335287]; [0, 0.09909353122981916];\n     [0, 0.07680446333724522]; [0, 0.06074978246806276];\n     [0, 0.047329156055432434]; [0, 0.03767141317443944];\n     [0, 0.03408395464434185]; [0, 0.03164336528631953]; [0, 0.029333728915408];\n     [0, 0.026916867847434404]; [0, 0.020611899467538067];\n     [0, 0.024691443775790474]|]\n  Outside = [0, 0.034780102190979954] }\nNormalizing constant: 0.39262436795817907 <= Z <= 1.4049346635027904\nLog of normalizing constant: -0.9349019309095845 <= ln Z <= 0.3399907988594291\nTotal computation time: 0.247 seconds\nVinci computation: 0.000 seconds\nFlips computation: 0.000 seconds\n'}"
benchmarks,(1/(x**2 -1)),9,"(0.9009516251293381, 2.1276139680177604)",,0.394550085067749,"{'raw_output': '{ method = Polytopes\n  discretization = { Start = -4.0\n                     End = 4.0\n                     StepSize = 0.25 }\n  depth = 20\n  splits = 10000\n  epsilonScore = 0.025\n  epsilonVar = 0.05\n  outputSplitProgress = true\n  outputCurrentPath = true\n  outputCurrentArea = true }\nStart eval...\nCurrently on depth 0. In the queue 0Currently on depth 1. In the queue 0Currently on depth 2. In the queue 0Currently on depth 3. In the queue 0Currently on depth 4. In the queue 0Currently on depth 5. In the queue 0Currently on depth 6. In the queue 0Currently on depth 7. In the queue 0\n...eval completed\nFound 1 paths.\nWorking on path 0/1\nstarting with 1 interval traces...\n10000 splits remaining...\n10000 splits remaining...\n0 splits remaining...\n\nsummarizing results from interval traces...\n{ NormConst = [2.1220258711260644, 2.125141480506016]\n  Expectation = [23.90417390478391, 24.055468569127957]\n  Histogram =\n   [|[0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0]; [0, 0];\n     [0.11025245579821186, 0.11033384337126605];\n     [0.12606335723564802, 0.12624645716279503];\n     [0.09888392771804738, 0.09912809047934833];\n     [0.08164474268047793, 0.08194988677949469];\n     [0.06978829749828704, 0.07015444986045101];\n     [0.061053864064911104, 0.06148109885198945];\n     [0.05431826355401736, 0.05468215901527039];\n     [0.04878444007638959, 0.049059055895066005];\n     [0.04456056097649533, 0.044865751669931106];\n     [0.04079229000554917, 0.041128003781999316];\n     [0.03767794092296219, 0.03804418573376304];\n     [0.03486013176173206, 0.035256785758637416];\n     [0.03271288701396876, 0.033140107214030046];\n     [0.030725051851473877, 0.031182897784752056];\n     [0.028833413971167097, 0.02932180293380636]|]\n  Outside = [0, 1.2216393917251582] }\nNormalizing constant: 0.9009516251293381 <= Z <= 2.1276139680177604\nLog of normalizing constant: -0.10430371301568199 <= ln Z <= 0.7550011490166463\nTotal computation time: 0.130 seconds\nVinci computation: 0.000 seconds\nFlips computation: 0.000 seconds\n'}"
