bechmark,formula,index,output,error,time,details
benchmarks,(x)*1,0,0.49995,,0.08205246925354004,"{'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 0.49995}"
benchmarks,(x**2)*1,1,0.3333333333333333,,0.07203960418701172,"{'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 0.3333333333333333}"
benchmarks,(x**3)*1,2,0.25,,0.07811307907104492,"{'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 0.25}"
benchmarks,(x**3 + x**2 + x + 1)*1,3,2.0833333333333335,,0.11273574829101562,"{'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.0833333333333335}"
benchmarks,(x**4 + x**3 + x**2 + x**1 + 1)*1,4,2.283333333333333,,0.07252144813537598,"{'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.283333333333333}"
benchmarks,(1/x),5,,Memory limit exceeded (maybe),0.16797208786010742,[]
benchmarks,(1/(x+y)),6,,Not a monomial: (x + y),0.021838903427124023,[]
benchmarks,(1/(x+y+(x*y))),7,,Not a monomial: (x + y + (x * y)),0.020225048065185547,[]
benchmarks,(1/(x+y+z)),8,,Not a monomial: (x + y + z),0.02646470069885254,[]
benchmarks,(1/(x**2 -1)),9,,Not a monomial: (-1.0 + (x ^ 2.0)),0.0265047550201416,[]
benchmarks,((x**2+x+1)*1)/(x**3+1),10,,Not a monomial: (1.0 + (x ^ 3.0)),0.029427766799926758,[]
benchmarks,(x*1/( 4.0 + x**2)),11,,Not a monomial: (4.0 + (x ^ 2.0)),0.020599842071533203,[]
benchmarks,((x**3)*1/(4.0+x**2)),12,,Not a monomial: (4.0 + (x ^ 2.0)),0.025519847869873047,[]
benchmarks,(1/(4.0*x**2 + 9.0*x + 16.0)),13,,Not a monomial: (16.0 + (4.0 * (x ^ 2.0)) + (9.0 * x)),0.02533888816833496,[]
benchmarks,(1/( (4.0+x) * (x+9.0) )),14,,Not a monomial: (36.0 + (x ^ 2.0) + (13.0 * x)),0.03309273719787598,[]
benchmarks,((1/x)**(1/2)),15,,N\S,6.270408630371094e-05,[]
benchmarks,((1/x)**(1/3)),16,,N\S,7.462501525878906e-05,[]
benchmarks,((1/(x+1))**(1/2)),17,,N\S,5.412101745605469e-05,[]
benchmarks,(1/(x**2-1))**(1/2),18,,N\S,4.601478576660156e-05,[]
benchmarks,(1/(x+y))**(1/2),19,,N\S,6.890296936035156e-05,[]
benchmarks,((x**2 + 2*y**2 + 3*y*x + x + 1)*1/(2*y**2 + y*x + y + 2)),20,,Not a monomial: (2.0 + y + (2.0 * (y ^ 2.0)) + (x * y)),0.028406381607055664,[]
