formula_gubpi,output_faza,time_faza,output_gubpi,time_gubpi,output_latte,time_latte,output_psi,time_psi,output_volesti,time_volesti
(x)*1,"(0.4650292968749998, 0.5641259765624999)",1.886,"(0.4874999999999982, 0.5125000000000021)",0.341,0.49995,0.076,E[p_] = 1/2,0.017,"(0.49807700000000005, 0.027256533029716014)",0.058
(x**2)*1,"(0.291015625, 0.390625)",2.923,"(0.3331775037124986, 0.33348919462330495)",0.441,0.3333333333333333,0.101,E[p_] = 1/3,0.033,"(0.32744969999999995, 0.01718050319431885)",0.068
(x**3)*1,"(0.201171875, 0.30078125)",15.674,"(0.24984827016353228, 0.25015176909508047)",0.426,0.25,0.071,E[p_] = 1/4,0.029,"(0.24845979999999995, 0.012861644403419028)",0.068
(x**3 + x**2 + x + 1)*1,"(2.0322265625, 2.1318359375)",30.07,"(2.0804081595527166, 2.086258920654905)",0.47,2.083333333333333,0.1,E[p_] = 25/12,0.026,"(2.064878, 0.08109399445088401)",0.064
(x**4 + x**3 + x**2 + x**1 + 1)*1,"(2.23297119140625, 2.3326873779296875)",185.701,"(1.7791781814430736, 2.2864838808790706)",0.449,2.283333333333333,0.087,E[p_] = 137/60,0.027,"(2.3449210000000003, 0.09601009118316675)",0.062
(1/x),"(4.555835545063019, 4.655831515789032)",173.165,"(1.3967282610166747, 4.6586603061975875)",0.38,nan,0.128,E[p_] = 100/99*Log[100],0.032,"(4.606759, 0.1899076768564136)",0.063
(1/(x**2 -1)),"(2.053006015606855, 2.152962471122258)",157.727,"(0.9009516251293381, 2.1276139680177604)",0.398,nan,0.031,E[p_] = 1/Integrate[(1/((-16*xi1^2+10000)^(1/2)*1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*10000+-1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)*100+-1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*800+1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*1000000)*Boole[((-16*xi1^2+10000)^(1/2)*1/2+50)*1/xi1+2<=0]+1/(-(-16*xi1^2+10000)^(1/2)*1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*10000+-1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*1000000+1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)*100+1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*800)*Boole[(-(-16*xi1^2+10000)^(1/2)*1/2+-50)*1/xi1+-2<=0])*Boole[((-16*xi1^2+10000)^(1/2)*1/2+50)*1/xi1+-1<=0]*Boole[(-(-16*xi1^2+10000)^(1/2)*1/2+-50)*1/xi1+-2!=0]*Boole[(-(-16*xi1^2+10000)^(1/2)*1/2+-50)*xi1<=0]*Boole[-25+-xi1<=0]*Boole[-25+xi1<=0]*Boole[xi1!=0]+(1/((-16*xi1^2+10000)^(1/2)*1/(-(-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*10000+-1/(-(,10.311,"(2.082044, 0.11859814342560347)",0.06
((x**2+x+1)*1)/(x**3+1),"(1.391748046875, 1.490185546875)",138.959,"(1.4388604210338147, 1.4416370766047004)",0.407,nan,0.031,"E[p_] = 100*Integrate[1/(4+xi1^2)*Boole[-1+xi1<=0]*Boole[-xi1<=0]*xi1^3,{xi1,-Infinity,Infinity}]",0.032,"(1.4552919999999998, 0.057200882825355084)",0.067
((x*100)/( 4.0 + x**2)),"(11.105995178222658, 11.205978393554693)",81.14,"(0.3191055917455714, 11.162752168214817)",0.377,nan,0.032,"E[p_] = 1/Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1^2*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1^2*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1^2*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.232,"(10.932220000000001, 0.4439255631296761)",0.072
(((x**3)*100)/(4.0+x**2)),"(5.323982238769531, 5.423870086669922)",77.39,"(0.5663400696474378, 5.376511818963688)",0.423,nan,0.027,"E[p_] = 1/Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1^2*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1^2*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1^2*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.173,"(5.333835, 0.27780853709884434)",0.063
