formula_faza,output_faza,time_faza,output_gubpi,time_gubpi,output_latte,time_latte,output_psi,time_psi,output_volesti,time_volesti
(3.87*x**1+5.77*x**0) / (8.32*x**3 + 5.44*x**2 + 0.77*x**1 + 7.78*x**0),"(0.6209815507002485, 0.7190312692318667)",95.899,"(0.6775424712848596, 0.6788097626654503)",0.483,nan,0.061,"E[p_] = 100/99*Integrate[(387/100*xi1+577/100)*1/(136/25*xi1^2+208/25*xi1^3+389/50+77/100*xi1)*Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[544*xi1^2+77*xi1+778+832*xi1^3!=0],{xi1,-Infinity,Infinity}]",0.023,"(0.6697733, 0.03167796447390521)",0.121
(2.67*x**1+3.94*x**0) / (2.08*x**1 + 2.78*x**0),"(1.3035252399983923, 1.4021111825192791)",2.971,"(1.3829908706544114, 1.383145732964076)",0.432,nan,0.037,"E[p_] = 100/99*Boole[Integrate[1/(((-482469/31250*xi1+683787/31250)*1/(-267/100+52/25*xi1)+5122/625)*1/((-3614/625*xi1+5122/625)*1/(-267/100+52/25*xi1)+139/50)^2+-1/((-3614/625*xi1+5122/625)*1/(-267/100+52/25*xi1)+139/50)*267/100)*Boole[((-3614*xi1+5122)*1/(-267/100+52/25*xi1)+3475/2)*(-71289/100+13884/25*xi1)+-100438*xi1!=0]*Boole[((-3614*xi1+5122)*1/(-267/100+52/25*xi1)+3475/2)*(-71289/100+13884/25*xi1)+-100438*xi1<=0]*Boole[-39667/28008+xi1<=0]*Boole[-44484336*xi1+-8998912*xi1^3+19034163+34654464*xi1^2!=0]*Boole[-44484336*xi1+-8998912*xi1^3+19034163+34654464*xi1^2<=0]*Boole[-xi1+661/486<=0],{xi1,-Infinity,Infinity}]+Integrate[1/(((-683787/31250+482469/31250*xi1)*1/(-267/100+52/25*xi1)+-5122/625)*1/((-3614/625*xi1+5122/625)*1/(-267/100+52/25*xi1)+139/50)^2+1/((-3614/625*xi1+5122/625)*1/(-267/100+52/25*xi1)+139/50)*267/100)*Boole[((-5122+3614*xi1)*1/(-267/100+52/25*xi1)+-3475/2)*(-13884/25*xi1+71289/100)+-100438*xi1<=0]*Boole[-19034163+-34654464*xi1^2+44484336*xi1+8998912*xi1^3<=0]*Bo",0.493,"(1.3258739999999998, 0.045871780257583226)",0.124
(0.15*x**0) / (5.08*x**2 + 5.3*x**1 + 9.11*x**0),"(0, 0.016205584149650985)",11.461,"(0.011671671292629613, 0.011672594335843871)",0.44,nan,0.032,"E[p_] = 1/Integrate[1/(-392563/2500+1/xi1*381/125)^(1/2)*1/xi1^2*Boole[(-392563/2500+1/xi1*381/125)^(1/2)+-773/50<=0]*Boole[-(-392563/2500+1/xi1*381/125)^(1/2)+3376/625<=0]*Boole[-1/xi1+392563/7620!=0]*Boole[-1/xi1+392563/7620<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-392563/2500+1/xi1*381/125)^(1/2)*1/xi1^2*Boole[(-392563/2500+1/xi1*381/125)^(1/2)+-773/50<=0]*Boole[-(-392563/2500+1/xi1*381/125)^(1/2)+3376/625<=0]*Boole[-1/xi1+392563/7620!=0]*Boole[-1/xi1+392563/7620<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(-392563/2500+1/xi1*381/125)^(1/2)*1/xi1*Boole[(-392563/2500+1/xi1*381/125)^(1/2)+-773/50<=0]*Boole[-(-392563/2500+1/xi1*381/125)^(1/2)+3376/625<=0]*Boole[-1/xi1+392563/7620!=0]*Boole[-1/xi1+392563/7620<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(-392563/2500+1/xi1*381/125)^(1/2)*1/xi1^2*Boole[(-392563/2500+1/xi1*381/125)^(1/2)+-773/50<=0]*Boole[-(-392563/2500+1/xi1*381/125)^(1/2)+3376/625<=0]*Boole[-1/xi1+39256",0.2,"(0.011488439999999999, 0.0005155557277346454)",0.119
(3.53*x**2+4.89*x**1+0.17*x**0) / (4.51*x**2 + 9.11*x**1 + 0.58*x**0),"(0.47723272447183107, 0.5754865206866198)",16.183,"(0.5411507819421031, 0.5422613034688918)",0.579,nan,0.037,E[p_] = 1/Integrate[(1/((((-389197/5000*xi1+215117/10000+725289/10000*xi1^2)^(1/2)*353/50+-172617/5000+321583/5000*xi1)*1/(-353/50+451/50*xi1)+-489/100)*1/((-(-389197/5000*xi1+215117/10000+725289/10000*xi1^2)^(1/2)*911/100+-829921/10000*xi1+445479/10000)*1/(-353/50+451/50*xi1)+(-389197/5000*xi1+215117/10000+725289/10000*xi1^2)^(1/2)*1/(-353/50+451/50*xi1)^2*410861/5000*xi1+-(-389197/5000*xi1+215117/10000+725289/10000*xi1^2)^(1/2)*1/(-353/50+451/50*xi1)^2*220539/5000+-1/(-353/50+451/50*xi1)^2*xi1*94109719/125000+1/(-353/50+451/50*xi1)^2*102430669/500000+1/(-353/50+451/50*xi1)^2*70139971/100000*xi1^2+29/50)+((-(-389197/5000*xi1+215117/10000+725289/10000*xi1^2)^(1/2)*460813/10000+-419800643/1000000*xi1+225337557/1000000)*1/(-353/50+451/50*xi1)+(-389197/5000*xi1+215117/10000+725289/10000*xi1^2)^(1/2)*1/(-353/50+451/50*xi1)^2*694784171/500000*xi1+(-389197/5000*xi1+215117/10000+725289/10000*xi1^2)^(1/2)*1/(-353/50+451/50*xi1)^3*212764779711/25000000*xi1+-(-389197/5000*xi1+215117/10000+725289,111.552,"(0.5467838, 0.03590879065855603)",0.113
(8.03*x**2+2.42*x**1+9.79*x**0) / (3.11*x**2 + 9.15*x**1 + 7.41*x**0),"(1.0119278375331635, 1.1080609820988139)",17.221,"(1.0653504907070543, 1.0658492424387842)",0.641,nan,0.042,E[p_] = 1/Integrate[(1/((((-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^(1/2)*51898/625+-3139829/15625+4748667/6250*xi1)*1/(-803/50+311/50*xi1)+(-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^(1/2)*1/(-803/50+311/50*xi1)^2*107117549/250000+(-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^(1/2)*1/(-803/50+311/50*xi1)^3*10969022559/12500000+(-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^(1/2)*1/(-803/50+311/50*xi1)^3*25089925311/2000000*xi1^2+(-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^(3/2)*1/(-803/50+311/50*xi1)^3*249733/5000+-(-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^(1/2)*1/(-803/50+311/50*xi1)^2*xi1*162004227/100000+-(-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^(1/2)*1/(-803/50+311/50*xi1)^3*xi1*16589513457/2500000+-1/(-803/50+311/50*xi1)^2*xi1*300133634339/12500000+-1/(-803/50+311/50*xi1)^2*xi1^2*333147085887/50000000+-1/(-803/50+311/50*xi1)^3*xi1*661847160756441/1250000000+-179157/2000+1/(-803/50+311/50*xi1)^2*134004053799/5000000+1/(-803/50+311/50*xi1)^3*158,140.078,"(1.0480953, 0.0498250734149986)",0.124
(8.0*x**0) / (4.54*x**1 + 3.38*x**0),"(1.424765173410403, 1.5246793713872808)",5.549,"(1.4910019395849086, 1.4927491402193154)",0.428,nan,0.026,E[p_] = -40000/22473*Log[100]+-40000/22473*Log[17127]+40000/22473*Log[40000]+40000/22473*Log[99],0.037,"(1.4511420000000002, 0.044739513139952655)",0.135
(8.72*x**3+4.97*x**2+9.93*x**1+9.22*x**0) / (8.34*x**1 + 0.97*x**0),"(3.7792197102143485, 3.8791898747735427)",36.617,"(2.530358512760424, 3.8816666888247475)",0.467,nan,0.036,E[p_] = -5886923830475/5987002095558*Log[100]+-5886923830475/5987002095558*Log[5267]+1252315300393/725117130000+5886923830475/5987002095558*Log[5000]+5886923830475/5987002095558*Log[931],0.055,"(3.7877929999999993, 0.17914782672697985)",0.126
(4.73*x**1+7.21*x**0) / (8.55*x**3 + 6.43*x**2 + 2.09*x**1 + 3.23*x**0),"(1.3410988911501798, 1.4403596296745698)",117.099,"(1.404945763358778, 1.4086275933256287)",0.591,nan,0.037,"E[p_] = 100/99*Integrate[(473/100*xi1+721/100)*1/(171/20*xi1^3+209/100*xi1+323/100+643/100*xi1^2)*Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[209*xi1+323+643*xi1^2+855*xi1^3!=0],{xi1,-Infinity,Infinity}]",0.031,"(1.370762, 0.06899213705923303)",0.125
(7.18*x**1+6.52*x**0) / (6.88*x**1 + 3.12*x**0),"(1.5298793185205823, 1.6298061192077529)",4.115,"(1.5892607038087854, 1.5933519388668629)",0.42,nan,0.038,"E[p_] = 100/99*Boole[Integrate[1/(((-2408172/15625*xi1+5032462/15625)*1/(-359/50+172/25*xi1)+28036/625)*1/((-13416/625*xi1+28036/625)*1/(-359/50+172/25*xi1)+78/25)^2+-1/((-13416/625*xi1+28036/625)*1/(-359/50+172/25*xi1)+78/25)*359/50)*Boole[((-13416/5*xi1+28036/5)*1/(-359/50+172/25*xi1)+390)*(-128881/50+61748/25*xi1)+-965608*xi1!=0]*Boole[((-13416/5*xi1+28036/5)*1/(-359/50+172/25*xi1)+390)*(-128881/50+61748/25*xi1)+-965608*xi1<=0]*Boole[-133005192*xi1+-40707584*xi1^3+127447872*xi1^2+46268279!=0]*Boole[-133005192*xi1+-40707584*xi1^3+127447872*xi1^2+46268279<=0]*Boole[-32959/15944+xi1<=0]*Boole[-xi1+137/100<=0],{xi1,-Infinity,Infinity}]+Integrate[1/(((-5032462/15625+2408172/15625*xi1)*1/(-359/50+172/25*xi1)+-28036/625)*1/((-13416/625*xi1+28036/625)*1/(-359/50+172/25*xi1)+78/25)^2+1/((-13416/625*xi1+28036/625)*1/(-359/50+172/25*xi1)+78/25)*359/50)*Boole[((-28036/5+13416/5*xi1)*1/(-359/50+172/25*xi1)+-390)*(-61748/25*xi1+128881/50)+-965608*xi1<=0]*Boole[-127447872*xi1^2+-46268279+133005192",0.565,"(1.590827, 0.07173742789506747)",0.122
(5.9*x**2+6.79*x**1+4.35*x**0) / (5.11*x**0),"(1.8400509494251456, 1.9399923938967696)",5.743,"(1.9088801671911104, 1.9132257963525083)",0.428,1.8919423091976515,0.159,E[p_] = 244137/127750,0.051,"(1.9122100000000004, 0.04600732876401323)",0.124
