formula_gubpi,output_faza,time_faza,output_gubpi,time_gubpi,output_latte,time_latte,output_psi,time_psi,output_volesti,time_volesti
(x)*1,"(0.4650292968749998, 0.5641259765624999)",1.886,"(0.4874999999999982, 0.5125000000000021)",0.341,0.49995,0.076,E[p_] = 1/2,0.017,"(0.4964729, 0.01823298415756455)",0.055
(x**2)*1,"(0.291015625, 0.390625)",2.923,"(0.3331775037124986, 0.33348919462330495)",0.441,0.3333333333333333,0.101,E[p_] = 1/3,0.033,"(0.3342024, 0.028790758462395538)",0.057
(x**3)*1,"(0.201171875, 0.30078125)",15.674,"(0.24984827016353228, 0.25015176909508047)",0.426,0.25,0.071,E[p_] = 1/4,0.029,"(0.25591679999999994, 0.014200959254923595)",0.057
(x**3 + x**2 + x + 1)*1,"(2.0322265625, 2.1318359375)",30.07,"(2.0804081595527166, 2.086258920654905)",0.47,2.083333333333333,0.1,E[p_] = 25/12,0.026,"(2.1027580000000006, 0.09792110260817122)",0.061
(x**4 + x**3 + x**2 + x**1 + 1)*1,"(2.23297119140625, 2.3326873779296875)",185.701,"(1.7791781814430736, 2.2864838808790706)",0.449,2.283333333333333,0.087,E[p_] = 137/60,0.027,"(2.2449730000000003, 0.12231629491200265)",0.058
(1/x),"(4.555835545063019, 4.655831515789032)",173.165,"(1.3967282610166747, 4.6586603061975875)",0.38,Memory limit exceeded (maybe),0.128,E[p_] = 100/99*Log[100],0.032,"(4.5334769999999995, 0.4846575793289527)",0.058
(1/(x+y)),TBD,0.0,"(0.9060811781674457, 1.5703531908659134)",0.438,Not a monomial: (x + y),0.021,E[p_] = -200/9801*Log[50]+-20200/9801*Log[101]+20000/9801*Log[2]+20200/9801*Log[100],0.058,"(1.3103030000000002, 0.08121066679322367)",0.063
(1/(x+y+(x*y))),TBD,0.0,"(0.7554629140929581, 1.41457907058147)",0.468,Not a monomial: (x + y + (x * y)),0.029,"E[p_] = 1/Integrate[1/(1+1/xi1)^(1/2)*1/xi1^2*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(1+1/xi1)^(1/2)*1/xi1^2*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(1+1/xi1)^(1/2)*1/xi1*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(1+1/xi1)^(1/2)*1/xi1^2*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.11,"(1.0780602, 0.06662874944316452)",0.06
(1/(x+y+z)),TBD,0.0,"(0.4011848654728736, 1.3534406747150967)",0.497,Not a monomial: (x + y + z),0.025,"E[p_] = Integrate[(1+xi1+xi1^2)*1/(1+xi1^3)*Boole[-1+-xi1^3!=0]*Boole[-1+xi1<=0]*Boole[-xi1<=0],{xi1,-Infinity,Infinity}]",0.033,"(0.7484308, 0.03157966900333187)",0.063
(1/(x**2 -1)),"(2.053006015606855, 2.152962471122258)",157.727,"(0.9009516251293381, 2.1276139680177604)",0.398,Not a monomial: (-1.0 + (x ^ 2.0)),0.031,E[p_] = 1/Integrate[(1/((-16*xi1^2+10000)^(1/2)*1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*10000+-1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)*100+-1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*800+1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*1000000)*Boole[((-16*xi1^2+10000)^(1/2)*1/2+50)*1/xi1+2<=0]+1/(-(-16*xi1^2+10000)^(1/2)*1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*10000+-1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*1000000+1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)*100+1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*800)*Boole[(-(-16*xi1^2+10000)^(1/2)*1/2+-50)*1/xi1+-2<=0])*Boole[((-16*xi1^2+10000)^(1/2)*1/2+50)*1/xi1+-1<=0]*Boole[(-(-16*xi1^2+10000)^(1/2)*1/2+-50)*1/xi1+-2!=0]*Boole[(-(-16*xi1^2+10000)^(1/2)*1/2+-50)*xi1<=0]*Boole[-25+-xi1<=0]*Boole[-25+xi1<=0]*Boole[xi1!=0]+(1/((-16*xi1^2+10000)^(1/2)*1/(-(-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*10000+-1/(-(,10.311,"(2.064275, 0.1813129944184917)",0.058
