formula_faza,bounds_faza,output_faza,time_faza,n_hrects,output_gubpi,time_gubpi,n_hrects,output_latte,time_latte,n_hrects,output_psi,time_psi,n_hrects,output_volesti,time_volesti,n_hrects
x,"[[0, 1]]","(0.44824218750000006, 0.5471191406250001)",1.509,182,"(0.4874999999999982, 0.5125000000000021)",0.438,182,0.495,0.046,182,E[p_] = 1/2,0.046,182,"(0.5151958000000001, 0.018589615982047614)",0.062,182
x**2,"[[0, 1]]","(0.2919921875, 0.388671875)",2.345,174,"(0.3331775037124986, 0.33348919462330495)",0.491,174,0.3333333333333333,0.056,174,E[p_] = 1/3,0.033,174,"(0.32834620000000003, 0.02313598325033971)",0.056,174
x**3,"[[0, 1]]","(0.203125, 0.302734375)",12.646,188,"(0.24984827016353228, 0.25015176909508047)",0.569,188,0.25,0.056,188,E[p_] = 1/4,0.031,188,"(0.2444998, 0.012170452841205211)",0.063,188
x**3 + x**2 + x + 1,"[[0, 1]]","(2.03271484375, 2.132568359375)",25.479,687,"(2.0804081595527166, 2.086258920654905)",0.572,687,2.083333333333333,0.077,687,E[p_] = 25/12,0.028,687,"(2.103787, 0.12710389868528818)",0.077,687
x**4 + x**3 + x**2 + x + 1,"[[0, 1]]","(2.2336578369140625, 2.3333358764648438)",162.889,1026,"(1.7791781814430736, 2.2864838808790706)",0.607,1026,2.283333333333333,0.065,1026,E[p_] = 137/60,0.024,1026,"(2.3580829999999997, 0.11347025919156088)",0.061,1026
1/x,"[[0.1, 1]]","(2.2525062561035156, 2.3524818420410156)",11.937,1817,"(1.5371684485704926, 2.5619332125521685)",0.555,1817,Memory limit exceeded (maybe),0.109,1817,E[p_] = 10/9*Log[10],0.034,1817,"(2.2516629999999997, 0.16795978108166246)",0.06,1817
1/(x + y),"[[0.1, 1], [0.1, 1]]","(0.8046227931975486, 0.9046121120451944)",244.741,27723,"(0.9041182051435195, 1.2051808096057812)",0.692,27723,Not a monomial: (x + y),0.019,27723,E[p_] = -20/81*Log[5]+-220/81*Log[11]+200/81*Log[2]+220/81*Log[10],0.063,27723,"(0.8608950999999999, 0.04969340924800792)",0.063,27723
1/(x*y + x + y),"[[0.1, 1], [0.1, 1]]","(0.6641051428657644, 0.7641003472463368)",1827.18,25829,"(0.7440893216911799, 1.0197100716352703)",0.68,25829,Not a monomial: (x + y + (x * y)),0.023,25829,"Command '['./psi', 'experimental_results/psi_template_bench_manual_7.psi', '--expectation', '--mathematica']' died with <Signals.SIGKILL: 9>.",573.922,25829,"(0.7262099, 0.0389765557212281)",0.064,25829
1/(x + y + z),"[[0.1, 1], [0.1, 1], [0.1, 1]]","(0.4346059226988648, 0.534605863094464)",5652.07,290620,"(0.441005170321887, 0.9238633657746954)",0.652,290620,Not a monomial: (x + y + z),0.022,290620,E[p_] = -245/27*Log[21]+-80/27*Log[5]+55/9*Log[3]+740/81*Log[10]+80/27*Log[6],0.142,290620,"(0.49478150000000004, 0.024827443345016412)",0.066,290620
1/(x**2 - 1),"[[1.01, 2]]","(2.0531351886579197, 2.153126873187248)",142.003,10404,"(0.9009516251293381, 2.1276139680177604)",0.574,10404,Not a monomial: (-1.0 + (x ^ 2.0)),0.03,10404,"E[p_] = 1/Integrate[1/(1+1/xi1)^(1/2)*1/xi1^2*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(1+1/xi1)^(1/2)*1/xi1^2*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(1+1/xi1)^(1/2)*1/xi1*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(1+1/xi1)^(1/2)*1/xi1^2*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.119,10404,"(2.13001, 0.15017606187405494)",0.06,10404
