Function,Faza_output,Faza_time,Gubpi_output,Gubpi_time,Latte_output,Latte_time,Psi_output,Psi_time,Volesti_output,Volesti_meanstd,Volesti_time
(3.87*x**1+5.77*x**0) / (8.32*x**3 + 5.44*x**2 + 0.77*x**1 + 7.78*x**0),"(0.6209815507002485, 0.7190312692318667)",95.89911007881165,"(0.6775424712848596, 0.6788097626654503)",0.4834983348846435,Not a monomial: (8759501275235615/4 + (2341871806232658.0 * (x ^ 3.0)) + (1733885856537641/8 * x) + (6124895493223875/4 * (x ^ 2.0))),0.0611460208892822,"E[p_] = 100/99*Integrate[(387/100*xi1+577/100)*1/(136/25*xi1^2+208/25*xi1^3+389/50+77/100*xi1)*Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[544*xi1^2+77*xi1+778+832*xi1^3!=0],{xi1,-Infinity,Infinity}]",0.0234370231628417,"(0.616943, 0.727933)",[0.6697733  0.03167796],"(0.10847139358520508, 0.13376188278198242)"
(2.67*x**1+3.94*x**0) / (2.08*x**1 + 2.78*x**0),"(1.3035252399983923, 1.4021111825192791)",2.9710187911987305,"(1.3829908706544114, 1.383145732964076)",0.4323794841766357,Not a monomial: (6260003482044989.0 + (4683743612465316.0 * x)),0.0365445613861084,E[p_] = 100/99*Boole[Integrate[1/(((-482469/31250*xi1+683787/31250)*1/(-267/100+52/25*xi1)+5122/625)*1/((-3614/625*xi1+5122/625)*1/(-267/100+52/25*xi1)+139/50)^2+-1/((-3614/625*xi1+5122/625)*1/(-267/100+52/25*xi1)+139/50)*267/100)*Boole[((-3614*xi1+5122)*1/(-267/100+52/25*xi1)+3475/2)*(-71289/100+13884/25*xi1)+-100438*xi1!=0]*Boole[((-3614*xi1+5122)*1/(-267/100+52/25*xi1)+3475/2)*(-71289/100+13884/25*xi1)+-100438*xi1<=0]*Boole[-39667/28008+xi1<=0]*Boole[-44484336*xi1+-8998912*xi1^3+19034163+3465,0.4927840232849121,"(1.26521, 1.39941)",[1.325874   0.04587178],"(0.1087343692779541, 0.13344430923461914)"
(0.15*x**0) / (5.08*x**2 + 5.3*x**1 + 9.11*x**0),"(0, 0.016205584149650985)",11.460794925689695,"(0.011671671292629613, 0.011672594335843871)",0.4397757053375244,Not a monomial: (328222340842761728.0 + (183026288856336960.0 * (x ^ 2.0)) + (190952624200509024.0 * x)),0.0317049026489257,"E[p_] = 1/Integrate[1/(-392563/2500+1/xi1*381/125)^(1/2)*1/xi1^2*Boole[(-392563/2500+1/xi1*381/125)^(1/2)+-773/50<=0]*Boole[-(-392563/2500+1/xi1*381/125)^(1/2)+3376/625<=0]*Boole[-1/xi1+392563/7620!=0]*Boole[-1/xi1+392563/7620<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-392563/2500+1/xi1*381/125)^(1/2)*1/xi1^2*Boole[(-392563/2500+1/xi1*381/125)^(1/2)+-773/50<=0]*Boole[-(-392563/2500+1/xi1*381/125)^(1/2)+3376/625<=0]*Boole[-1/xi1+392563/7620!=0]*Boole[-1/xi1+392563/7620<=0]*Bo",0.2004616260528564,"(0.0104545, 0.0121287)",[0.01148844 0.00051556],"(0.10523247718811035, 0.14924836158752441)"
(3.53*x**2+4.89*x**1+0.17*x**0) / (4.51*x**2 + 9.11*x**1 + 0.58*x**0),"(0.47723272447183107, 0.5754865206866198)",16.182556629180908,"(0.5411507819421031, 0.5422613034688918)",0.5785386562347412,Not a monomial: (20896702270999100.0 + (162489874555527488.0 * (x ^ 2.0)) + (328222340842761728.0 * x)),0.0372037887573242,E[p_] = 1/Integrate[(1/((((-389197/5000*xi1+215117/10000+725289/10000*xi1^2)^(1/2)*353/50+-172617/5000+321583/5000*xi1)*1/(-353/50+451/50*xi1)+-489/100)*1/((-(-389197/5000*xi1+215117/10000+725289/10000*xi1^2)^(1/2)*911/100+-829921/10000*xi1+445479/10000)*1/(-353/50+451/50*xi1)+(-389197/5000*xi1+215117/10000+725289/10000*xi1^2)^(1/2)*1/(-353/50+451/50*xi1)^2*410861/5000*xi1+-(-389197/5000*xi1+215117/10000+725289/10000*xi1^2)^(1/2)*1/(-353/50+451/50*xi1)^2*220539/5000+-1/(-353/50+451/50*xi1)^2*xi1,111.55189061164856,"(0.469831, 0.617519)",[0.5467838  0.03590879],"(0.10309672355651855, 0.14017534255981445)"
(8.03*x**2+2.42*x**1+9.79*x**0) / (3.11*x**2 + 9.15*x**1 + 7.41*x**0),"(1.0119278375331635, 1.1080609820988139)",17.220679998397827,"(1.0653504907070543, 1.0658492424387842)",0.6407322883605957,Not a monomial: (2085729577425961/2 + (5150992073805005/4 * x) + (7003097420561121/16 * (x ^ 2.0))),0.042255163192749,E[p_] = 1/Integrate[(1/((((-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^(1/2)*51898/625+-3139829/15625+4748667/6250*xi1)*1/(-803/50+311/50*xi1)+(-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^(1/2)*1/(-803/50+311/50*xi1)^2*107117549/250000+(-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^(1/2)*1/(-803/50+311/50*xi1)^3*10969022559/12500000+(-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^(1/2)*1/(-803/50+311/50*xi1)^3*25089925311/2000000*xi1^2+(-192874/625+-84579/10000*xi1^2+788777/2500*xi1)^,140.07792210578918,"(0.943715, 1.11774)",[1.0480953  0.04982507],"(0.11050629615783691, 0.14609694480895996)"
(8.0*x**0) / (4.54*x**1 + 3.38*x**0),"(1.424765173410403, 1.5246793713872808)",5.548786878585815,"(1.4910019395849086, 1.4927491402193154)",0.4283297061920166,Not a monomial: (3805541685128069/1125899906842624 + (5111585577065513/1125899906842624 * x)),0.0264594554901123,E[p_] = -40000/22473*Log[100]+-40000/22473*Log[17127]+40000/22473*Log[40000]+40000/22473*Log[99],0.0371565818786621,"(1.36274, 1.51168)",[1.451142   0.04473951],"(0.11057925224304199, 0.20654630661010742)"
(8.72*x**3+4.97*x**2+9.93*x**1+9.22*x**0) / (8.34*x**1 + 0.97*x**0),"(3.7792197102143485, 3.8791898747735427)",36.61651134490967,"(2.530358512760424, 3.8816666888247475)",0.4668083190917969,Not a monomial: (4368491638549381/8 + (4695002611533742.0 * x)),0.0363974571228027,E[p_] = -5886923830475/5987002095558*Log[100]+-5886923830475/5987002095558*Log[5267]+1252315300393/725117130000+5886923830475/5987002095558*Log[5000]+5886923830475/5987002095558*Log[931],0.0552778244018554,"(3.48932, 4.03683)",[3.787793   0.17914783],"(0.10410857200622559, 0.14414525032043457)"
(4.73*x**1+7.21*x**0) / (8.55*x**3 + 6.43*x**2 + 2.09*x**1 + 3.23*x**0),"(1.3410988911501798, 1.4403596296745698)",117.09868907928468,"(1.404945763358778, 1.4086275933256287)",0.5906243324279785,Not a monomial: (7273313398203351/2 + (2353130805301084.0 * x) + (7239536400998072.0 * (x ^ 2.0)) + (9626444203504436.0 * (x ^ 3.0))),0.0370538234710693,"E[p_] = 100/99*Integrate[(473/100*xi1+721/100)*1/(171/20*xi1^3+209/100*xi1+323/100+643/100*xi1^2)*Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[209*xi1+323+643*xi1^2+855*xi1^3!=0],{xi1,-Infinity,Infinity}]",0.0312938690185546,"(1.23835, 1.48341)",[1.370762   0.06899214],"(0.10447335243225098, 0.14891505241394043)"
(7.18*x**1+6.52*x**0) / (6.88*x**1 + 3.12*x**0),"(1.5298793185205823, 1.6298061192077529)",4.115180969238281,"(1.5892607038087854, 1.5933519388668629)",0.4197704792022705,Not a monomial: (3512807709348987/4 + (7746191359077253/4 * x)),0.0380208492279052,E[p_] = 100/99*Boole[Integrate[1/(((-2408172/15625*xi1+5032462/15625)*1/(-359/50+172/25*xi1)+28036/625)*1/((-13416/625*xi1+28036/625)*1/(-359/50+172/25*xi1)+78/25)^2+-1/((-13416/625*xi1+28036/625)*1/(-359/50+172/25*xi1)+78/25)*359/50)*Boole[((-13416/5*xi1+28036/5)*1/(-359/50+172/25*xi1)+390)*(-128881/50+61748/25*xi1)+-965608*xi1!=0]*Boole[((-13416/5*xi1+28036/5)*1/(-359/50+172/25*xi1)+390)*(-128881/50+61748/25*xi1)+-965608*xi1<=0]*Boole[-133005192*xi1+-40707584*xi1^3+127447872*xi1^2+46268279!=0],0.5647132396697998,"(1.46068, 1.69419)",[1.590827   0.07173743],"(0.10153460502624512, 0.13567042350769043)"
(5.9*x**2+6.79*x**1+4.35*x**0) / (5.11*x**0),"(1.8400509494251456, 1.9399923938967696)",5.743403434753418,"(1.9088801671911104, 1.9132257963525083)",0.427595853805542,1.8919423091976515,0.1586887836456298,E[p_] = 244137/127750,0.051027774810791,"(1.85225, 1.9972)",[1.91221    0.04600733],"(0.11149001121520996, 0.13322997093200684)"
