formula_gubpi,bounds,output_faza,time_faza,n_hrects,output_gubpi,time_gubpi,output_latte,time_latte,output_volesti,time_volesti
(1.03*x**2 + 0.48*x*y + 8.88*x + 1.1*y**2 + 1.87*y + 5.02)/(0.97*x**2 + 2.72*x*y + 7.6*x + 2.94*y**2 + 7.43*y + 4.78),"[[0.1, 1], [0.1, 1]]","(0.5898230890246405, 0.6896906251302616)",272.643,1284,"(0.711266057983094, 0.8710624008180216)",0.766,Not a monomial: (5381801554707743/4 + (2091359076960174.0 * y) + (4278419646001971/2 * x) + (4368491638549381/16 * (x ^ 2.0)) + (6620291452234629/8 * (y ^ 2.0)) + (6124895493223875/8 * x * y)),0.05,"(0.648784, 0.03218630839036996)",0.07
(6.82*x**2 + 1.32*x*y + 8.69*x + 5.6*y**2 + 8.55*y + 8.39)/(3.53*x**2 + 6.37*x*y + 0.32*x + 4.09*y**2 + 2.49*y + 4.42),"[[0.1, 1], [0.1, 1]]","(1.7129047384964033, 1.812863288989478)",589.094,5336,"(1.5639518246240296, 2.8058999441535044)",0.756,Not a monomial: (2488238794122199/8 + (1151232654746583/4 * (y ^ 2.0)) + (1401745384019067/8 * y) + (5764607523034235/256 * x) + (7948853342308925/32 * (x ^ 2.0)) + (7171982406587515/16 * x * y)),0.041,"(1.744203, 0.08964754620735582)",0.07
(5.72*x**2 + 7.83*x*y + 4.6*x + 3.43*y**2 + 8.15*y + 7.95)/(6.93*x**2 + 1.29*x*y + 5.28*x + 6.26*y**2 + 7.12*y + 8.4),"[[0.1, 1], [0.1, 1]]","(0.7618363752627153, 0.8617597761952512)",249.278,847,"(0.7126014688609542, 1.305862755213216)",0.799,Not a monomial: (9457559217478042.0 + (5944751508129055.0 * x) + (7048133416834826.0 * (y ^ 2.0)) + (7802486354419384.0 * (x ^ 2.0)) + (8016407336719483.0 * y) + (1452410879826985.0 * x * y)),0.039,"(0.8220304, 0.052084158826268864)",0.065
(5.79*x**2 + 2.65*x*y + 4.62*x + 1.86*y**2 + 1.8*y + 4.08)/(4.54*x**2 + 3.84*x*y + 4.94*x + 6.52*y**2 + 9.32*y + 7.3),"[[0.1, 1], [0.1, 1]]","(0.3981118938485614, 0.4980876414244374)",266.304,1061,"(0.5084030815642594, 0.6028950703253301)",0.627,Not a monomial: (8219069319951155/2 + (3670433696306954.0 * (y ^ 2.0)) + (5246693565886628.0 * y) + (5111585577065513/2 * (x ^ 2.0)) + (5561945539802563/2 * x) + (2161727821137838.0 * x * y)),0.043,"(0.4513803, 0.025515351967198098)",0.063
(7.82*x**2 + 7.55*x*y + 3.35*x + 5.83*y**2 + 8.04*y + 2.72)/(1.09*x**2 + 3.54*x*y + 3.46*x + 3.76*y**2 + 3.45*y + 9.73),"[[0.1, 1], [0.1, 1]]","(0.7253642810024395, 0.825341176037968)",486.233,3929,"(0.8289588063133213, 1.0884849667935454)",0.637,Not a monomial: (21910012187157464.0 + (7768709357214106.0 * y) + (7791227355350958.0 * x) + (8466767299456532.0 * (y ^ 2.0)) + (4908923593833841/2 * (x ^ 2.0)) + (7971371340445778.0 * x * y)),0.043,"(0.7749078, 0.039051415861143884)",0.061
(9.01*x**2 + 1.08*x*y + 4.7*x + 2.58*y**2 + 0.54*y + 0.52)/(2.06*x**2 + 3.94*x*y + 8.91*x + 0.89*y**2 + 6.55*y + 1.98),"[[0.1, 1], [0.1, 1]]","(0.429674191347774, 0.5296126224002398)",300.136,1492,"(0.5274434402103584, 0.6621698378850945)",0.621,Not a monomial: (4458563631096791.0 + (4638707616191611.0 * (x ^ 2.0)) + (14749288779638374.0 * y) + (20063536339935560.0 * x) + (8016407336719483/4 * (y ^ 2.0)) + (8872091265919877.0 * x * y)),0.045,"(0.492859, 0.025273920198497106)",0.064
(3.48*x**2 + 7.62*x*y + 1.28*x + 0.49*y**2 + 8.82*y + 1.21)/(2.86*x**2 + 6.68*x*y + 7.24*x + 8.38*y**2 + 5.14*y + 1.55),"[[0.1, 1], [0.1, 1]]","(0.5297946239357543, 0.6297896317555237)",265.41,1055,"(0.5438271679604468, 0.9204038520182458)",0.7,Not a monomial: (6980579422424269/4 + (5787125521171087.0 * y) + (8151515325540598.0 * x) + (9435041219341190.0 * (y ^ 2.0)) + (6440147467139809/2 * (x ^ 2.0)) + (7521011377708728.0 * x * y)),0.038,"(0.5966868, 0.040498774568621214)",0.067
(7.89*x**2 + 9.21*x*y + 1.62*x + 3.61*y**2 + 7.79*y + 7.44)/(8.32*x**2 + 9.01*x*y + 7.56*x + 0.3*y**2 + 4.7*y + 0.02),"[[0.1, 1], [0.1, 1]]","(1.408511963280665, 1.508506265667054)",3168.302,36996,"(1.1161111672108006, 2.4764386805304133)",0.62,Not a monomial: (5764607523034235/256 + (5291729562160333.0 * y) + (8511803295730237.0 * x) + (9367487224930632.0 * (x ^ 2.0)) + (5404319552844595/16 * (y ^ 2.0)) + (10144358160652042.0 * x * y)),0.054,"(1.452901, 0.09511290937091559)",0.061
(3.53*x**2 + 9.9*x*y + 8.84*x + 4.24*y**2 + 2.37*y + 6.2)/(6.24*x**2 + 7.47*x*y + 2.52*x + 0.47*y**2 + 3.26*y + 6.53),"[[0.1, 1], [0.1, 1]]","(0.9676485370584922, 1.0675116365090673)",282.556,1235,"(0.8776772171648857, 1.6319422485166692)",0.646,Not a monomial: (7352126391682335.0 + (3670433696306954.0 * y) + (7025615418697974.0 * (x ^ 2.0)) + (2116691824864133/4 * (y ^ 2.0)) + (5674535530486825/2 * x) + (8410472304114401.0 * x * y)),0.047,"(0.9985051, 0.04657369069217083)",0.064
(4.49*x**2 + 9.55*x*y + 1.59*x + 0.72*y**2 + 9.11*y + 9.56)/(7.37*x**2 + 5.2*x*y + 0.2*x + 8.8*y**2 + 6.85*y + 0.04),"[[0.1, 1], [0.1, 1]]","(1.7291135333996104, 1.8291130292403135)",10969.145,134834,"(1.1650928203898223, 2.915243659132659)",0.637,Not a monomial: (5764607523034235/256 + (3856207180935987.0 * y) + (4953959590107546.0 * (y ^ 2.0)) + (3602879701896397/32 * x) + (8297882313430139/2 * (x ^ 2.0)) + (5854679515581645/2 * x * y)),0.041,"(1.817597, 0.1441395147105748)",0.064
