Gubpi_output,Gubpi_time,Psi_output,Psi_time
"(0.5850834106982069, 0.5853559563800296)",0.43,"E[p_] = 1/Integrate[1/(-226/625+1/xi1^2*5804369/62500)^(1/2)*1/xi1^3*Boole[(-226/625+1/xi1^2*5804369/62500)^(1/2)+-181/10<=0]*Boole[(5804369/22600)^(1/2)+-xi1!=0]*Boole[-(-226/625+1/xi1^2*5804369/62500)^(1/2)+34169/5000<=0]*Boole[-(5804369/22600)^(1/2)+xi1<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-226/625+1/xi1^2*5804369/62500)^(1/2)*1/xi1^3*Boole[(-226/625+1/xi1^2*5804369/62500)^(1/2)+-181/10<=0]*Boole[(5804369/22600)^(1/2)+-xi1!=0]*Boole[-(-226/625+1/xi1^2*",1.92
"(0.6940753026396893, 0.6997831992174012)",0.52,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-205*xi1^3+-352*xi1+-436*xi1^2+-684<=0]*Boole[-xi1+1/100<=0]*Boole[205*xi1^3+352*xi1+436*xi1^2+684!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[205*xi1^3+352*xi1+436*xi1^2+684!=0]*Boole[205*xi1^3+352*xi1+436*xi1^2+684<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-205*xi1^3+-352*xi1+-436*xi1^2+-684<=0]*Boole[-xi1+1/100<=0]*Boole[205*xi1^3+352*xi1+436*xi1^2+684!=0],{xi1,-Infinity",0.04
"(0.983213423102785, 0.9838691427004288)",0.53,E[p_] = (20/89)^(1/2)*451869997/100000000,0.02
"(0.7722084144661071, 0.7725548915902053)",0.42,E[p_] = -30155^(1/2)*646/54945+646/54945*85100^(1/2),0.04
"(1.2874941229630317, 1.2888450045581636)",0.58,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-108*xi1^2+-259+-315*xi1+-658*xi1^3<=0]*Boole[-xi1+1/100<=0]*Boole[108*xi1^2+259+315*xi1+658*xi1^3!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[108*xi1^2+259+315*xi1+658*xi1^3!=0]*Boole[108*xi1^2+259+315*xi1+658*xi1^3<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-108*xi1^2+-259+-315*xi1+-658*xi1^3<=0]*Boole[-xi1+1/100<=0]*Boole[108*xi1^2+259+315*xi1+658*xi1^3!=0],{xi1,-Infinity",0.04
"(0.7795665247174848, 0.7799247993613336)",0.46,E[p_] = -179^(1/2)*Boole[-1/179^(1/2)+1/33125^(1/2)*7<=0]*49/369+33125^(1/2)*7/369*Boole[-1/179^(1/2)+1/33125^(1/2)*7<=0]	Pr[error] = Boole[-1/179^(1/2)+1/33125^(1/2)*7!=0]*Boole[-1/33125^(1/2)*7+1/179^(1/2)<=0],0.04
"(0.8931227149964988, 0.8945419081669608)",0.56,"E[p_] = 100/99*Integrate[(192/25*xi1^2+381/100*xi1+477/50*xi1^3+87/25)*1/(191/50*xi1+721/100+763/100*xi1^2)^(1/2)*Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0],{xi1,-Infinity,Infinity}]",0.03
"(1.07089747397495, 1.0726007425279132)",0.53,"E[p_] = 100/99*Integrate[(203/50*xi1^2+42/25+471/100*xi1+887/100*xi1^3)*1/(873/100*xi1^2+9/4+91/50*xi1)^(1/2)*Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0],{xi1,-Infinity,Infinity}]",0.04
"(0.9525852857825041, 0.9528496268195389)",0.45,E[p_] = 8587/94300*943^(1/2),0.05
"(2.9773655055404284, 2.9812112252794107)",0.46,E[p_] = 14774459/16300000*163^(1/2),0.07
