formula_gubpi,output_faza,time_faza,output_gubpi,time_gubpi,output_latte,time_latte,output_psi,time_psi,output_volesti,time_volesti
(8.14*x**0)**(1/2),"(2.798497619628902, 2.898483886718747)",6.938,"Command '['./app/GuBPI', 'experimental_results/gubpi_template_bench_sqrt_0.spcf']' died with <Signals.SIGABRT: 6>.",0.267,N\S,0.0,E[p_] = (407/50)^(1/2),0.017,"(nan, nan)",0.0
(2.51*x**1+4.63*x**0)**(1/2),"(2.369177856445304, 2.468756103515617)",6.117,"(2.4207947638040466, 2.4217356529114653)",0.401,N\S,0.0,E[p_] = (357/50)^(3/2)*200/753+-(463/100)^(3/2)*200/753,0.036,"(nan, nan)",0.0
(6.74*x**2+2.58*x**1+8.33*x**0)**(1/2),"(3.370510101318358, 3.470426940917966)",11.529,"(2.979619319933553, 3.4244508837497207)",0.417,N\S,0.0,"E[p_] = 1/Integrate[1/(-544801/2500+674/25*xi1^2)^(1/2)*Boole[(-544801/2500+674/25*xi1^2)^(1/2)+-803/50<=0]*Boole[(544801/67400)^(1/2)+-xi1!=0]*Boole[(544801/67400)^(1/2)+-xi1<=0]*Boole[-(-544801/2500+674/25*xi1^2)^(1/2)+129/50<=0]*xi1,{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-544801/2500+674/25*xi1^2)^(1/2)*Boole[(-544801/2500+674/25*xi1^2)^(1/2)+-803/50<=0]*Boole[(544801/67400)^(1/2)+-xi1!=0]*Boole[(544801/67400)^(1/2)+-xi1<=0]*Boole[-(-544801/2500+674/25*xi1^2)^(1/2)+129/50<=0]*xi1,{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(-544801/2500+674/25*xi1^2)^(1/2)*Boole[(-544801/2500+674/25*xi1^2)^(1/2)+-803/50<=0]*Boole[(544801/67400)^(1/2)+-xi1!=0]*Boole[(544801/67400)^(1/2)+-xi1<=0]*Boole[-(-544801/2500+674/25*xi1^2)^(1/2)+129/50<=0]*xi1^2,{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(-544801/2500+674/25*xi1^2)^(1/2)*Boole[(-544801/2500+674/25*xi1^2)^(1/2)+-803/50<=0]*Boole[(544801/67400)^(1/2)+-xi1!=0]*Boole[(544801/67400)^(1/2)+-xi1<=0]*Boole[-(-544801/2500+674/25*xi1^2)",1.577,"(nan, nan)",0.0
(5.7*x**3+9.91*x**2+2.4*x**1+2.86*x**0)**(1/2),"(2.786684455871587, 2.8864392089843802)",46.566,"(2.2496577364511694, 2.839232991838528)",0.453,N\S,0.0,"E[p_] = 1/(-Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[240*xi1+286+570*xi1^3+991*xi1^2!=0]*Boole[240*xi1+286+570*xi1^3+991*xi1^2<=0],{xi1,-Infinity,Infinity}]+1)*Integrate[(12/5*xi1+143/50+57/10*xi1^3+991/100*xi1^2)^(1/2)*Boole[-1+xi1<=0]*Boole[-240*xi1+-286+-570*xi1^3+-991*xi1^2<=0]*Boole[-xi1<=0],{xi1,-Infinity,Infinity}]	Pr[error] = Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[240*xi1+286+570*xi1^3+991*xi1^2!=0]*Boole[240*xi1+286+570*xi1^3+991*xi1^2<=0],{xi1,-Infinity,Infinity}]",0.039,"(nan, nan)",0.0
(2.6*x**1+8.12*x**0)**(1/2),"(3.016962890624993, 3.116906738281241)",7.802,"(3.065971707694609, 3.0675433627474873)",0.413,N\S,0.0,E[p_] = (268/25)^(3/2)*10/39+-(203/25)^(3/2)*10/39,0.04,"(nan, nan)",0.0
(0.15*x**3+5.6*x**2+5.73*x**1+2.78*x**0)**(1/2),"(2.628926391601581, 2.7288003540039245)",40.722,"(2.6753038312414796, 2.6806880925216463)",0.442,N\S,0.0,"E[p_] = 1/(-Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[15*xi1^3+278+560*xi1^2+573*xi1!=0]*Boole[15*xi1^3+278+560*xi1^2+573*xi1<=0],{xi1,-Infinity,Infinity}]+1)*Integrate[(139/50+28/5*xi1^2+3/20*xi1^3+573/100*xi1)^(1/2)*Boole[-1+xi1<=0]*Boole[-15*xi1^3+-278+-560*xi1^2+-573*xi1<=0]*Boole[-xi1<=0],{xi1,-Infinity,Infinity}]	Pr[error] = Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[15*xi1^3+278+560*xi1^2+573*xi1!=0]*Boole[15*xi1^3+278+560*xi1^2+573*xi1<=0],{xi1,-Infinity,Infinity}]",0.041,"(nan, nan)",0.0
(4.89*x**1+8.14*x**0)**(1/2),"(3.194523124694827, 3.294431190490727)",9.2,"(3.2451053336588593, 3.2472006692485165)",0.409,N\S,0.0,E[p_] = (1303/100)^(3/2)*200/1467+-(407/50)^(3/2)*200/1467,0.037,"(nan, nan)",0.0
(6.34*x**3+5.78*x**2+2.86*x**1+2.64*x**0)**(1/2),"(2.5964469146728573, 2.6963955688476617)",44.394,"(2.4369073218612316, 2.648929370253905)",0.464,N\S,0.0,"E[p_] = 1/(-Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[132+143*xi1+289*xi1^2+317*xi1^3!=0]*Boole[132+143*xi1+289*xi1^2+317*xi1^3<=0],{xi1,-Infinity,Infinity}]+1)*Integrate[(143/50*xi1+289/50*xi1^2+317/50*xi1^3+66/25)^(1/2)*Boole[-1+xi1<=0]*Boole[-132+-143*xi1+-289*xi1^2+-317*xi1^3<=0]*Boole[-xi1<=0],{xi1,-Infinity,Infinity}]	Pr[error] = Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[132+143*xi1+289*xi1^2+317*xi1^3!=0]*Boole[132+143*xi1+289*xi1^2+317*xi1^3<=0],{xi1,-Infinity,Infinity}]",0.043,"(nan, nan)",0.0
(0.3*x**2+8.17*x**1+5.06*x**0)**(1/2),"(2.9620100784301773, 3.061313209533692)",10.096,"(3.0110412898395973, 3.014824542258129)",0.4,N\S,0.0,"E[p_] = Integrate[(1/(-1/(-817/60+1/60*606769^(1/2)+2*Integrate[1/(6/5*xi2^2+606769/10000)^(1/2)*Boole[(6/5*xi2^2+606769/10000)^(1/2)+-877/100<=0]*Boole[-(6/5*xi2^2+606769/10000)^(1/2)+1/100*606769^(1/2)<=0]*Boole[-(6/5*xi2^2+606769/10000)^(1/2)+817/100<=0]*Boole[-xi2<=0]*xi2,{xi2,-Infinity,Infinity}])*606769^(1/2)*Integrate[1/(6/5*xi2^2+606769/10000)^(1/2)*Boole[(6/5*xi2^2+606769/10000)^(1/2)+-877/100<=0]*Boole[-(6/5*xi2^2+606769/10000)^(1/2)+1/100*606769^(1/2)<=0]*Boole[-(6/5*xi2^2+606769/10000)^(1/2)+817/100<=0]*Boole[-xi2<=0]*xi2,{xi2,-Infinity,Infinity}]*1/30+-1/(-817/60+1/60*606769^(1/2)+2*Integrate[1/(6/5*xi2^2+606769/10000)^(1/2)*Boole[(6/5*xi2^2+606769/10000)^(1/2)+-877/100<=0]*Boole[-(6/5*xi2^2+606769/10000)^(1/2)+1/100*606769^(1/2)<=0]*Boole[-(6/5*xi2^2+606769/10000)^(1/2)+817/100<=0]*Boole[-xi2<=0]*xi2,{xi2,-Infinity,Infinity}])*637129/1800+-817/60+1/(-817/60+1/60*606769^(1/2)+2*Integrate[1/(6/5*xi2^2+606769/10000)^(1/2)*Boole[(6/5*xi2^2+606769/10000)^(1/2)+-877/100<=0]*Boo",1.615,"(nan, nan)",0.0
(5.52*x**2+1.6*x**1+8.61*x**0)**(1/2),"(3.2912845611572443, 3.3912532043457206)",9.754,"(3.338483004174861, 3.341426842976291)",0.427,N\S,0.0,"E[p_] = 1/Integrate[1/(-117218/625+552/25*xi1^2)^(1/2)*Boole[(-117218/625+552/25*xi1^2)^(1/2)+-316/25<=0]*Boole[(58609/6900)^(1/2)+-xi1!=0]*Boole[(58609/6900)^(1/2)+-xi1<=0]*Boole[-(-117218/625+552/25*xi1^2)^(1/2)+8/5<=0]*xi1,{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-117218/625+552/25*xi1^2)^(1/2)*Boole[(-117218/625+552/25*xi1^2)^(1/2)+-316/25<=0]*Boole[(58609/6900)^(1/2)+-xi1!=0]*Boole[(58609/6900)^(1/2)+-xi1<=0]*Boole[-(-117218/625+552/25*xi1^2)^(1/2)+8/5<=0]*xi1,{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(-117218/625+552/25*xi1^2)^(1/2)*Boole[(-117218/625+552/25*xi1^2)^(1/2)+-316/25<=0]*Boole[(58609/6900)^(1/2)+-xi1!=0]*Boole[(58609/6900)^(1/2)+-xi1<=0]*Boole[-(-117218/625+552/25*xi1^2)^(1/2)+8/5<=0]*xi1^2,{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(-117218/625+552/25*xi1^2)^(1/2)*Boole[(-117218/625+552/25*xi1^2)^(1/2)+-316/25<=0]*Boole[(58609/6900)^(1/2)+-xi1!=0]*Boole[(58609/6900)^(1/2)+-xi1<=0]*Boole[-(-117218/625+552/25*xi1^2)^(1/2)+8/5<=0]*xi1,{xi1,-Infinity,Inf",1.885,"(nan, nan)",0.0
