bechmark,formula,index,output,error,time,details
benchmarks,(x)*100,0,"(46.4867, 52.2849)",,"(0.04606151580810547, 0.0588834285736084)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 48.0863, 'time': 0.04606151580810547}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 46.8308, 'time': 0.054430484771728516}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 48.1449, 'time': 0.047302961349487305}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 46.5564, 'time': 0.04969167709350586}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 47.4426, 'time': 0.05212664604187012}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 48.518, 'time': 0.05638480186462402}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 46.4867, 'time': 0.05469536781311035}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 52.2849, 'time': 0.04778099060058594}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 51.6134, 'time': 0.0588834285736084}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 48.4637, 'time': 0.05096173286437988}]"
benchmarks,(x**2)*100,1,"(30.6513, 35.2304)",,"(0.05259513854980469, 0.06555819511413574)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 35.2304, 'time': 0.06555819511413574}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 32.8992, 'time': 0.06161761283874512}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 34.4631, 'time': 0.06165504455566406}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 31.6572, 'time': 0.05289196968078613}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 30.6513, 'time': 0.0528721809387207}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 33.6094, 'time': 0.0631096363067627}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 32.0621, 'time': 0.05259513854980469}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 31.8327, 'time': 0.0555872917175293}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 33.8908, 'time': 0.06364989280700684}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 34.078, 'time': 0.0633385181427002}]"
benchmarks,(x**3)*100,2,"(23.9558, 27.6791)",,"(0.06032896041870117, 0.06980657577514648)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 24.6176, 'time': 0.06130051612854004}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 27.6791, 'time': 0.06233668327331543}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 23.9558, 'time': 0.06605768203735352}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 24.5488, 'time': 0.06465888023376465}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 27.1003, 'time': 0.06320953369140625}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 26.6361, 'time': 0.06922793388366699}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 25.3627, 'time': 0.0642545223236084}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 24.975, 'time': 0.06207013130187988}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 25.6604, 'time': 0.06032896041870117}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 23.9614, 'time': 0.06980657577514648}]"
benchmarks,(x**3 + x**2 + x + 1)*100,3,"(193.663, 233.943)",,"(0.05183839797973633, 0.08543729782104492)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 228.936, 'time': 0.06465840339660645}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 221.577, 'time': 0.05183839797973633}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 214.137, 'time': 0.053363800048828125}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 233.943, 'time': 0.0753335952758789}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 233.788, 'time': 0.08543729782104492}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 195.257, 'time': 0.05833005905151367}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 193.663, 'time': 0.05596590042114258}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 200.381, 'time': 0.0538022518157959}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 224.553, 'time': 0.057100772857666016}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 207.39, 'time': 0.05721545219421387}]"
benchmarks,(x**4 + x**3 + x**2 + x**1 + 1)*100,4,"(202.509, 239.324)",,"(0.049648284912109375, 0.0669708251953125)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 225.156, 'time': 0.0669708251953125}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 233.298, 'time': 0.05690741539001465}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 222.344, 'time': 0.056345224380493164}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 230.896, 'time': 0.06060528755187988}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 230.517, 'time': 0.05915570259094238}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 221.474, 'time': 0.060385704040527344}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 231.179, 'time': 0.06084036827087402}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 239.324, 'time': 0.05841779708862305}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 202.509, 'time': 0.049648284912109375}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 213.329, 'time': 0.06141161918640137}]"
benchmarks,(100/x),5,"(423.663, 494.029)",,"(0.050296783447265625, 0.06630444526672363)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 459.474, 'time': 0.05807304382324219}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 451.786, 'time': 0.050296783447265625}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 480.782, 'time': 0.06630444526672363}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 423.663, 'time': 0.05910372734069824}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 477.321, 'time': 0.0520932674407959}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 494.029, 'time': 0.05857229232788086}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 493.473, 'time': 0.059731245040893555}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 445.197, 'time': 0.05844473838806152}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 459.167, 'time': 0.05262351036071777}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 434.479, 'time': 0.06316995620727539}]"
benchmarks,(100/(x+y)),6,"(116.261, 148.794)",,"(0.05283188819885254, 0.07176423072814941)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 129.41, 'time': 0.06603336334228516}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 134.746, 'time': 0.055754899978637695}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 123.446, 'time': 0.07176423072814941}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 132.022, 'time': 0.05283188819885254}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 148.794, 'time': 0.05550408363342285}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 128.551, 'time': 0.05600166320800781}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 123.614, 'time': 0.05836200714111328}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 126.93, 'time': 0.05815720558166504}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 116.261, 'time': 0.0620272159576416}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 129.179, 'time': 0.05567049980163574}]"
benchmarks,(100/(x+y+(x*y))),7,"(103.568, 120.346)",,"(0.05430436134338379, 0.06792259216308594)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 112.987, 'time': 0.06792259216308594}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 119.239, 'time': 0.06631350517272949}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 116.718, 'time': 0.056961774826049805}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 120.346, 'time': 0.059597015380859375}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 115.59, 'time': 0.06163620948791504}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 118.546, 'time': 0.05554080009460449}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 112.305, 'time': 0.05430436134338379}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 113.67, 'time': 0.05787014961242676}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 104.238, 'time': 0.06296706199645996}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 103.568, 'time': 0.06767082214355469}]"
benchmarks,(100/(x+y+z)),8,"(74.3443, 87.0571)",,"(0.0617825984954834, 0.07236433029174805)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 74.3443, 'time': 0.06670784950256348}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 81.0729, 'time': 0.06875777244567871}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 87.0571, 'time': 0.06362295150756836}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 82.5998, 'time': 0.0684356689453125}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 81.7031, 'time': 0.06895232200622559}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 79.2503, 'time': 0.07236433029174805}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 75.5786, 'time': 0.0617825984954834}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 75.3835, 'time': 0.07204389572143555}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 82.2501, 'time': 0.07110452651977539}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 81.0224, 'time': 0.06745600700378418}]"
benchmarks,(100/(x**2 -1)),9,"(189.046, 229.089)",,"(0.0514371395111084, 0.06225872039794922)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 190.975, 'time': 0.0573878288269043}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 205.652, 'time': 0.05776524543762207}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 229.089, 'time': 0.055169105529785156}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 213.742, 'time': 0.05865049362182617}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 213.609, 'time': 0.056122541427612305}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 191.16, 'time': 0.0514371395111084}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 204.161, 'time': 0.0614924430847168}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 214.49, 'time': 0.05858278274536133}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 190.546, 'time': 0.06225872039794922}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 189.046, 'time': 0.05711483955383301}]"
