example,integrand,degree,hrect_checked_num,total_solver_time,total_subs_time,threshold,max_workers
example1.py,-1.0*x,1,7,0.2721214294433594,0.07570385932922363,0.5,16
example1.py,x,1,7,0.19836640357971191,0.07226705551147461,0.5,16
example3.py,x + y,1,318,6.752225875854492,2.7149503231048584,0.5,16
example3.py,2.0*y,1,408,8.763858079910278,3.561960458755493,0.5,16
example3.py,x + y,1,497,10.611096143722534,4.356945037841797,0.5,16
example3.py,2.0*y,1,514,11.15135669708252,4.472392320632935,0.5,16
example5.py,-1.0*x,1,839,18.719752311706543,9.903967380523682,0.5,16
example5.py,-1.0*x,1,874,19.188783645629883,10.461567640304565,0.5,16
example5.py,x,1,885,18.857406854629517,9.236256837844849,0.5,16
example5.py,x,1,891,19.178667306900024,9.345885992050171,0.5,16
example6.py,1.00000000000000,0,1,0.02566671371459961,0.0051538944244384766,0.5,16
example6.py,1.00000000000000,0,1,0.02455902099609375,0.004906654357910156,0.5,16
example6.py,1.00000000000000,0,1,0.03658461570739746,0.004758596420288086,0.5,16
example6.py,1.00000000000000,0,1,0.024816274642944336,0.005154848098754883,0.5,16
example6.py,2.00000000000000,0,1,0.03901982307434082,0.004586219787597656,0.5,16
example6.py,2.00000000000000,0,1,0.03551816940307617,0.0048825740814208984,0.5,16
example6.py,2.00000000000000,0,1,0.03696942329406738,0.004716634750366211,0.5,16
example7.py,2.00000000000000,0,1,0.033370256423950195,0.0066967010498046875,0.5,16
example7.py,2.00000000000000,0,1,0.03485441207885742,0.004744768142700195,0.5,16
example7.py,1.00000000000000,0,1,0.05011296272277832,0.005438566207885742,0.5,16
example7.py,1.00000000000000,0,1,0.037816524505615234,0.006114482879638672,0.5,16
example8.py,1.00000000000000,0,1,0.02080559730529785,0.004353523254394531,0.5,16
example8.py,1.00000000000000,0,1,0.03891277313232422,0.00447392463684082,0.5,16
example8.py,1.00000000000000,0,1,0.024090290069580078,0.004628181457519531,0.5,16
example8.py,1.00000000000000,0,1,0.033854007720947266,0.004400968551635742,0.5,16
example8.py,1.00000000000000,0,1,0.036301374435424805,0.00497126579284668,0.5,16
example8.py,1.00000000000000,0,1,0.020980119705200195,0.00449061393737793,0.5,16
example8.py,1.00000000000000,0,1,0.03773927688598633,0.004694700241088867,0.5,16
example8.py,1.00000000000000,0,1,0.024101734161376953,0.004787445068359375,0.5,16
example8.py,1.00000000000000,0,1,0.024194955825805664,0.004216194152832031,0.5,16
example8.py,1.00000000000000,0,1,0.024302959442138672,0.004345893859863281,0.5,16
example8.py,1.00000000000000,0,1,0.033771514892578125,0.00440526008605957,0.5,16
example8.py,1.00000000000000,0,1,0.022901535034179688,0.004612445831298828,0.5,16
example8.py,1.00000000000000,0,1,0.06244707107543945,0.004575490951538086,0.5,16
example8.py,1.00000000000000,0,1,0.03686690330505371,0.004719257354736328,0.5,16
